pair,approach,base_sharpe,reversal_sharpe,improvement,base_trades,reversal_trades
GARAN.IS_YKBNK.IS,distance,0.673,0.489,-0.184,106,61
GARAN.IS_YKBNK.IS,coint,0.548,0.202,-0.345,154,50
ISCTR.IS_YKBNK.IS,distance,0.206,-0.003,-0.21,86,58
ISCTR.IS_YKBNK.IS,coint,0.581,0.464,-0.117,167,52
TCELL.IS_TTKOM.IS,distance,0.837,0.579,-0.258,106,56
TCELL.IS_TTKOM.IS,coint,0.508,0.143,-0.366,161,50
EREGL.IS_KRDMD.IS,distance,0.058,-0.097,-0.155,94,55
EREGL.IS_KRDMD.IS,coint,0.209,0.209,0.0,170,56
KCHOL.IS_SAHOL.IS,distance,0.712,0.378,-0.334,102,59
KCHOL.IS_SAHOL.IS,coint,0.569,0.289,-0.28,163,43
FROTO.IS_OTKAR.IS,distance,-0.32,-0.235,0.085,88,63
FROTO.IS_OTKAR.IS,coint,0.523,0.101,-0.422,166,46
AEFES.IS_ULKER.IS,distance,0.073,0.023,-0.049,91,63
AEFES.IS_ULKER.IS,coint,0.31,0.489,0.179,166,47
CCOLA.IS_TATGD.IS,distance,0.103,-0.213,-0.315,91,51
CCOLA.IS_TATGD.IS,coint,0.379,0.129,-0.251,172,46
