rank,ticker1,ticker2,SSD,locked_sigma,entry_threshold_2sigma
1,CUSAN,USAK,0.2294,0.02817,0.05635
2,AFYON,CUSAN,0.2347,0.02987,0.05974
3,ISMEN,YGGYO,0.2631,0.02727,0.05453
4,AFYON,USAK,0.2635,0.03136,0.06271
5,BAGFS,PAMEL,0.2681,0.03218,0.06435
6,AKBNK,GARAN,0.2903,0.03305,0.0661
7,ERSU,PRKAB,0.2905,0.03324,0.06648
8,HATEK,PKART,0.3268,0.03115,0.0623
9,ADEL,AKCNS,0.3372,0.03598,0.07196
10,AFYON,ALARK,0.3526,0.03687,0.07374
11,ECILC,ECZYT,0.3675,0.03581,0.07162
12,BJKAS,NETAS,0.4032,0.03077,0.06154
13,CUSAN,GARFA,0.4042,0.03365,0.0673
14,CIMSA,PNSUT,0.4193,0.03318,0.06635
15,AKMGY,BRYAT,0.429,0.03528,0.07056
16,BUCIM,NUHCM,0.4306,0.03971,0.07942
17,PENGD,RYSAS,0.4484,0.04074,0.08148
18,ALCTL,PRKAB,0.4526,0.04176,0.08352
19,PKART,TCELL,0.4677,0.04209,0.08418
20,HATEK,TCELL,0.4731,0.04125,0.08249
