date,cpi
2009-12-31,170.91
2010-01-31,174.07
2010-02-28,176.59
2010-03-31,177.62
2010-04-30,178.68
2010-05-31,178.04
2010-06-30,177.04
2010-07-31,176.19
2010-08-31,176.9
2010-09-30,179.07
2010-10-31,182.35
2010-11-30,182.4
2010-12-31,181.85
2011-01-31,182.6
2011-02-28,183.93
2011-03-31,184.7
2011-04-30,186.3
2011-05-31,190.81
2011-06-30,188.08
2011-07-31,187.31
2011-08-31,188.67
2011-09-30,190.09
2011-10-31,196.31
2011-11-30,199.7
2011-12-31,200.85
2012-01-31,201.98
2012-02-29,203.12
2012-03-31,203.96
2012-04-30,207.05
2012-05-31,206.61
2012-06-30,204.76
2012-07-31,204.29
2012-08-31,205.43
2012-09-30,207.55
2012-10-31,211.62
2012-11-30,212.42
2012-12-31,213.23
2013-01-31,216.74
2013-02-28,217.39
2013-03-31,218.83
2013-04-30,219.75
2013-05-31,220.07
2013-06-30,221.75
2013-07-31,222.44
2013-08-31,222.21
2013-09-30,223.91
2013-10-31,227.94
2013-11-30,227.96
2013-12-31,229.01
2014-01-31,233.54
2014-02-28,234.54
2014-03-31,237.18
2014-04-30,240.37
2014-05-31,241.32
2014-06-30,242.07
2014-07-31,243.17
2014-08-31,243.4
2014-09-30,243.74
2014-10-31,248.37
2014-11-30,248.82
2014-12-31,247.72
2015-01-31,250.45
2015-02-28,252.24
2015-03-31,255.23
2015-04-30,259.39
2015-05-31,260.85
2015-06-30,259.51
2015-07-31,259.74
2015-08-31,260.78
2015-09-30,263.11
2015-10-31,267.2
2015-11-30,268.98
2015-12-31,269.54
2016-01-31,274.44
2016-02-29,274.38
2016-03-31,274.27
2016-04-30,276.42
2016-05-31,278.02
2016-06-30,279.33
2016-07-31,282.58
2016-08-31,281.76
2016-09-30,282.27
2016-10-31,286.33
2016-11-30,287.81
2016-12-31,292.54
2017-01-31,299.74
2017-02-28,302.17
2017-03-31,305.24
2017-04-30,309.23
2017-05-31,310.61
2017-06-30,309.78
2017-07-31,310.24
2017-08-31,311.85
2017-09-30,313.88
2017-10-31,320.4
2017-11-30,325.18
2017-12-31,327.41
2018-01-31,330.75
2018-02-28,333.17
2018-03-31,336.48
2018-04-30,342.78
2018-05-31,348.34
2018-06-30,357.44
2018-07-31,359.41
2018-08-31,367.66
2018-09-30,390.84
2018-10-31,401.27
2018-11-30,395.48
2018-12-31,393.88
2019-01-31,398.07
2019-02-28,398.71
2019-03-31,402.81
2019-04-30,409.63
2019-05-31,413.52
2019-06-30,413.63
2019-07-31,419.24
2019-08-31,422.84
2019-09-30,427.04
2019-10-31,435.59
2019-11-30,437.25
2019-12-31,440.5
2020-01-31,446.45
2020-02-29,448.02
2020-03-31,450.58
2020-04-30,454.43
2020-05-31,460.62
2020-06-30,465.84
2020-07-31,468.56
2020-08-31,472.61
2020-09-30,477.21
2020-10-31,487.38
2020-11-30,498.58
2020-12-31,504.81
2021-01-31,513.3
2021-02-28,517.96
2021-03-31,523.53
2021-04-30,532.32
2021-05-31,537.05
2021-06-30,547.48
2021-07-31,557.36
2021-08-31,563.6
2021-09-30,570.66
2021-10-31,584.32
2021-11-30,604.84
2021-12-31,686.95
2022-01-31,763.23
2022-02-28,799.93
2022-03-31,843.64
2022-04-30,904.79
2022-05-31,931.76
2022-06-30,977.9
2022-07-31,1001.03
2022-08-31,1015.65
2022-09-30,1046.89
2022-10-31,1084.0
2022-11-30,1115.26
2022-12-31,1128.45
2023-01-31,1203.48
2023-02-28,1241.33
2023-03-31,1269.75
2023-04-30,1300.04
2023-05-31,1300.6
2023-06-30,1351.59
2023-07-31,1479.84
2023-08-31,1614.31
2023-09-30,1691.04
2023-10-31,1749.11
2023-11-30,1806.5
2023-12-31,1859.38
2024-01-31,1984.02
2024-02-29,2073.88
2024-03-31,2139.47
2024-04-30,2207.5
2024-05-31,2281.85
2024-06-30,2319.29
2024-07-31,2394.1
2024-08-31,2453.34
2024-09-30,2526.16
2024-10-31,2598.91
2024-11-30,2657.23
2024-12-31,2684.55
2025-01-31,2819.65
2025-02-28,2883.75
2025-03-31,2954.69
2025-04-30,3043.23
2025-05-31,3089.74
2025-06-30,3132.17
2025-07-31,3196.66
2025-08-31,3261.72
2025-09-30,3367.22
2025-10-31,3453.09
2025-11-30,3482.96
2025-12-31,3513.87
2026-01-31,3683.83
2026-02-28,3793.05
2026-03-31,3866.74
2026-04-30,4028.47
2026-05-31,4097.55
