date,rate
2010-05-20,7.00
2010-12-17,6.50
2011-01-21,6.25
2011-08-05,5.75
2012-12-19,5.50
2013-04-17,5.00
2013-05-17,4.50
2014-01-29,10.00
2014-05-23,9.50
2014-06-25,8.75
2014-07-18,8.25
2015-01-21,7.75
2015-02-25,7.50
2016-11-25,8.00
2018-06-01,16.50
2018-06-08,17.75
2018-09-14,24.00
2019-07-26,19.75
2019-09-13,16.50
2019-10-25,14.00
2019-12-13,12.00
2020-01-17,11.25
2020-02-20,10.75
2020-03-18,9.75
2020-04-23,8.75
2020-05-22,8.25
2020-09-25,10.25
2020-11-20,15.00
2020-12-25,17.00
2021-03-19,19.00
2021-09-24,18.00
2021-10-22,16.00
2021-11-19,15.00
2021-12-17,14.00
2022-08-19,13.00
2022-09-23,12.00
2022-10-21,10.50
2022-11-25,9.00
2023-02-24,8.50
2023-06-23,15.00
2023-07-21,17.50
2023-08-25,25.00
2023-09-22,30.00
2023-10-27,35.00
2023-11-24,40.00
2023-12-22,42.50
2024-01-26,45.00
2024-03-22,50.00
2024-12-27,47.50
2025-01-24,45.00
2025-03-07,42.50
2025-04-18,46.00
2025-07-25,43.00
2025-09-12,40.50
2025-10-24,39.50
2025-12-12,38.00
2026-01-23,37.00
