trading_start,n_pairs_a,n_pairs_b,n_overlap,overlap_frac,year
2010-12-21,20,20,19,0.95,2010
2011-01-19,20,20,19,0.95,2011
2011-02-17,20,20,19,0.95,2011
2011-03-18,20,20,20,1.0,2011
2011-04-18,20,20,20,1.0,2011
2011-05-17,20,20,19,0.95,2011
2011-06-15,20,20,20,1.0,2011
2011-07-14,20,20,19,0.95,2011
2011-08-12,20,20,20,1.0,2011
2011-09-12,20,20,20,1.0,2011
2011-10-11,20,20,20,1.0,2011
2011-11-09,20,20,20,1.0,2011
2011-12-08,20,20,20,1.0,2011
2012-01-06,20,20,19,0.95,2012
2012-02-06,20,20,19,0.95,2012
2012-03-06,20,20,19,0.95,2012
2012-04-04,20,20,19,0.95,2012
2012-05-03,20,20,20,1.0,2012
2012-06-01,20,20,19,0.95,2012
2012-07-02,20,20,19,0.95,2012
2012-07-31,20,20,20,1.0,2012
2012-08-29,20,20,20,1.0,2012
2012-09-27,20,20,20,1.0,2012
2012-10-26,20,20,19,0.95,2012
2012-11-26,20,20,20,1.0,2012
2012-12-25,20,20,19,0.95,2012
2013-01-23,20,20,19,0.95,2013
2013-02-21,20,20,20,1.0,2013
2013-03-22,20,20,19,0.95,2013
2013-04-22,20,20,18,0.9,2013
2013-05-21,20,20,20,1.0,2013
2013-06-19,20,20,19,0.95,2013
2013-07-18,20,20,20,1.0,2013
2013-08-16,20,20,20,1.0,2013
2013-09-16,20,20,19,0.95,2013
2013-10-15,20,20,20,1.0,2013
2013-11-13,20,20,19,0.95,2013
2013-12-12,20,20,20,1.0,2013
2014-01-10,20,20,20,1.0,2014
2014-02-10,20,20,20,1.0,2014
2014-03-11,20,20,19,0.95,2014
2014-04-09,20,20,20,1.0,2014
2014-05-08,20,20,19,0.95,2014
2014-06-06,20,20,20,1.0,2014
2014-07-07,20,20,19,0.95,2014
2014-08-05,20,20,19,0.95,2014
2014-09-03,20,20,19,0.95,2014
2014-10-02,20,20,19,0.95,2014
2014-10-31,20,20,20,1.0,2014
2014-12-01,20,20,20,1.0,2014
2014-12-30,20,20,19,0.95,2014
2015-01-28,20,20,19,0.95,2015
2015-02-26,20,20,20,1.0,2015
2015-03-27,20,20,20,1.0,2015
2015-04-27,20,20,19,0.95,2015
2015-05-26,20,20,19,0.95,2015
2015-06-24,20,20,20,1.0,2015
2015-07-23,20,20,19,0.95,2015
2015-08-21,20,20,19,0.95,2015
2015-09-21,20,20,19,0.95,2015
2015-10-20,20,20,19,0.95,2015
2015-11-18,20,20,19,0.95,2015
2015-12-17,20,20,18,0.9,2015
2016-01-15,20,20,19,0.95,2016
2016-02-15,20,20,20,1.0,2016
2016-03-15,20,20,20,1.0,2016
2016-04-13,20,20,20,1.0,2016
2016-05-12,20,20,20,1.0,2016
2016-06-10,20,20,20,1.0,2016
