pair,approach,wfo_mean_sharpe,wfo_windows,avg_trades_per_window
GARAN.IS_YKBNK.IS,distance,0.695,62,0.9
GARAN.IS_YKBNK.IS,coint,0.353,62,0.9
ISCTR.IS_YKBNK.IS,distance,0.398,62,1.3
ISCTR.IS_YKBNK.IS,coint,0.356,62,1.1
TCELL.IS_TTKOM.IS,distance,0.896,62,1.3
TCELL.IS_TTKOM.IS,coint,0.412,62,1.0
EREGL.IS_KRDMD.IS,distance,0.691,62,1.0
EREGL.IS_KRDMD.IS,coint,0.293,62,1.0
KCHOL.IS_SAHOL.IS,distance,0.985,62,1.3
KCHOL.IS_SAHOL.IS,coint,0.374,62,1.1
FROTO.IS_OTKAR.IS,distance,0.463,62,1.3
FROTO.IS_OTKAR.IS,coint,0.519,62,1.0
AEFES.IS_ULKER.IS,distance,0.787,62,1.3
AEFES.IS_ULKER.IS,coint,0.528,62,1.3
CCOLA.IS_TATGD.IS,distance,0.389,62,1.2
CCOLA.IS_TATGD.IS,coint,0.584,62,1.0
