formation_start,trading_start,trading_end,n_liquid,n_active_pairs,n_trades,avg_spread_at_entry_pct,avg_holding_days,round_trips_per_pair,window_return_pct
2010-01-01,2010-12-21,2011-06-14,210,20,44,12.3532,41.64,2.2,-0.128
2010-02-01,2011-01-19,2011-07-13,211,20,48,9.5279,39.44,2.4,11.624
2010-03-02,2011-02-17,2011-08-11,214,20,41,9.0845,45.85,2.05,3.088
2010-03-31,2011-03-18,2011-09-09,214,20,39,8.5759,48.9,1.95,2.624
2010-04-29,2011-04-18,2011-10-10,217,20,35,8.4539,54.51,1.75,-0.488
2010-05-28,2011-05-17,2011-11-08,217,20,37,9.9578,49.57,1.85,9.536
2010-06-28,2011-06-15,2011-12-07,224,20,36,10.4162,51.42,1.8,5.692
2010-07-27,2011-07-14,2012-01-05,226,18,33,10.4161,44.94,1.833,3.859
2010-08-25,2011-08-12,2012-02-03,232,20,32,10.3449,59.5,1.6,-4.077
2010-09-23,2011-09-12,2012-03-05,233,19,26,9.6309,57.81,1.368,5.196
2010-10-22,2011-10-11,2012-04-03,237,20,28,8.2096,62.82,1.4,-0.347
2010-11-22,2011-11-09,2012-05-02,240,20,35,8.185,38.23,1.75,9.895
2010-12-21,2011-12-08,2012-05-31,244,19,32,8.5805,45.97,1.684,-1.935
2011-01-19,2012-01-06,2012-06-29,244,20,37,8.8591,47.3,1.85,7.568
2011-02-17,2012-02-06,2012-07-30,244,20,35,8.0827,49.49,1.75,1.288
2011-03-18,2012-03-06,2012-08-28,243,19,30,8.4328,54.0,1.579,-1.9
2011-04-18,2012-04-04,2012-09-26,242,19,36,7.4617,48.61,1.895,8.282
2011-05-17,2012-05-03,2012-10-25,244,16,25,7.2933,68.84,1.562,-3.27
2011-06-15,2012-06-01,2012-11-23,246,19,28,7.7626,61.54,1.474,2.136
2011-07-14,2012-07-02,2012-12-24,243,18,26,7.9946,51.85,1.444,5.124
2011-08-12,2012-07-31,2013-01-22,242,20,28,10.6919,61.54,1.4,0.546
2011-09-12,2012-08-29,2013-02-20,236,20,33,9.8696,50.7,1.65,1.78
2011-10-11,2012-09-27,2013-03-21,227,20,25,10.3633,75.08,1.25,-8.385
2011-11-09,2012-10-26,2013-04-19,228,20,33,9.1036,52.52,1.65,-4.149
2011-12-08,2012-11-26,2013-05-20,220,19,29,9.2422,56.69,1.526,-9.891
2012-01-06,2012-12-25,2013-06-18,220,20,31,9.1579,57.77,1.55,-10.267
2012-02-06,2013-01-23,2013-07-17,215,20,40,9.3742,46.88,2.0,-13.353
2012-03-06,2013-02-21,2013-08-15,211,19,32,9.072,59.62,1.684,-21.977
2012-04-04,2013-03-22,2013-09-13,214,20,38,9.4315,50.34,1.9,4.934
2012-05-03,2013-04-22,2013-10-14,212,20,40,10.0256,44.0,2.0,12.33
2012-06-01,2013-05-21,2013-11-12,217,20,43,9.5955,41.74,2.15,16.614
2012-07-02,2013-06-19,2013-12-11,219,20,46,7.9998,32.09,2.3,15.454
2012-07-31,2013-07-18,2014-01-09,231,20,44,8.5245,36.2,2.2,10.333
2012-08-29,2013-08-16,2014-02-07,233,20,40,9.0236,42.0,2.0,8.534
2012-09-27,2013-09-16,2014-03-10,239,20,38,9.7673,49.03,1.9,7.352
2012-10-26,2013-10-15,2014-04-08,244,20,29,8.7084,54.38,1.45,3.176
2012-11-26,2013-11-13,2014-05-07,244,19,32,9.1058,51.03,1.684,7.322
2012-12-25,2013-12-12,2014-06-05,243,19,39,8.3389,39.38,2.053,6.25
2013-01-23,2014-01-10,2014-07-04,248,19,33,8.5331,45.27,1.737,2.461
