rank,ticker1,ticker2,SSD,locked_sigma
1,AVB,BXP,0.2028,0.022
2,CPT,REG,0.2724,0.02993
3,CPT,EQR,0.3272,0.03535
4,KIM,PLD,0.3648,0.03511
5,ARE,CPT,0.4338,0.03012
6,EQR,REG,0.4432,0.04153
7,O,REG,0.4566,0.04042
8,DOC,KIM,0.4623,0.0396
9,FRT,SPG,0.5098,0.04479
10,FRT,MAA,0.5477,0.03878
11,DOC,PLD,0.5566,0.03509
12,CPT,O,0.5893,0.03996
13,ES,PSA,0.6424,0.05059
14,EQR,O,0.6555,0.04701
15,FRT,UDR,0.6624,0.05065
16,EL,OMC,0.6923,0.05062
17,ARE,REG,0.7115,0.03216
18,ECL,ED,0.7451,0.05366
19,ITW,UPS,0.7506,0.0477
20,MAA,SPG,0.7611,0.0509
