pair,approach,best_period,best_sharpe,best_return_pct,best_n_trades
GARAN.IS_YKBNK.IS,distance,40,0.748,0.69,132
GARAN.IS_YKBNK.IS,coint,40,0.567,0.32,174
ISCTR.IS_YKBNK.IS,distance,120,0.377,0.34,53
ISCTR.IS_YKBNK.IS,coint,40,0.587,0.31,176
TCELL.IS_TTKOM.IS,distance,60,0.837,0.51,106
TCELL.IS_TTKOM.IS,coint,120,0.646,0.24,148
EREGL.IS_KRDMD.IS,distance,90,0.331,1.09,66
EREGL.IS_KRDMD.IS,coint,120,0.274,0.54,168
KCHOL.IS_SAHOL.IS,distance,20,1.011,0.36,197
KCHOL.IS_SAHOL.IS,coint,90,0.753,0.17,170
FROTO.IS_OTKAR.IS,distance,20,0.232,0.14,196
FROTO.IS_OTKAR.IS,coint,120,0.627,0.2,163
AEFES.IS_ULKER.IS,distance,20,0.333,0.16,198
AEFES.IS_ULKER.IS,coint,90,0.523,0.13,166
CCOLA.IS_TATGD.IS,distance,20,0.335,0.33,192
CCOLA.IS_TATGD.IS,coint,180,0.579,0.33,168
