rank,ticker1,ticker2,ssd,locked_sigma,entry_threshold_2sigma
1,PETUN.IS,PNSUT.IS,0.83755,0.04814,0.09628
2,ALKA.IS,ALKIM.IS,1.15925,0.06747,0.13493
3,GLRYH.IS,OZGYO.IS,1.16977,0.06704,0.13407
4,ALGYO.IS,TUKAS.IS,1.62095,0.07011,0.14022
5,SARKY.IS,SASA.IS,1.66298,0.07795,0.1559
6,ALGYO.IS,PNSUT.IS,1.68834,0.07366,0.14733
7,OZGYO.IS,TUKAS.IS,1.83022,0.08365,0.16731
8,ALKIM.IS,KGYO.IS,1.84564,0.08572,0.17143
9,VAKFN.IS,VKGYO.IS,1.90713,0.08564,0.17128
10,ALGYO.IS,OZGYO.IS,2.06317,0.08853,0.17706
11,INVEO.IS,ZEDUR.IS,2.11748,0.08763,0.17526
12,GEDIK.IS,VKGYO.IS,2.17895,0.08267,0.16534
13,OZGYO.IS,VAKFN.IS,2.30405,0.08359,0.16719
14,GENTS.IS,OZGYO.IS,2.30978,0.09063,0.18125
15,ANSGR.IS,TURSG.IS,2.37487,0.08831,0.17662
16,YUNSA.IS,ZEDUR.IS,2.38012,0.09096,0.18193
17,PETUN.IS,SEKFK.IS,2.47478,0.09863,0.19726
18,ALGYO.IS,PETUN.IS,2.56132,0.0742,0.1484
19,ALKA.IS,GENTS.IS,2.57984,0.08821,0.17641
20,GEDIK.IS,OZGYO.IS,2.61187,0.10143,0.20285
