timesteps,val_sharpe,val_return_pct,val_trades,seed,year
25000,0.512821631344375,2.5400501307706325,301,1,2024
50000,0.6706687005048675,2.7346820808287875,345,1,2024
75000,0.20051828551652562,0.5724173923950859,193,1,2024
100000,0.5156330877612124,1.2859109805383184,154,1,2024
125000,0.9512950149212599,3.4851727474276117,239,1,2024
150000,0.08331634255211173,0.13458077417800585,87,1,2024
175000,0.7218942202701183,1.7161785451615286,132,1,2024
200000,0.8841972061496988,2.9873350481488536,217,1,2024
25000,-1.226079521949243,-6.123861952630206,302,2,2024
50000,-1.0290914208359034,-5.067857904930451,299,2,2024
75000,-0.9870668520520202,-4.841416360776984,300,2,2024
100000,-0.8600908386349184,-3.7288057552201437,318,2,2024
125000,0.13860823336105416,0.5330025972983377,325,2,2024
150000,-0.30288583694238724,-1.1376871208707784,304,2,2024
175000,-0.7178280894759759,-2.706634053383461,282,2,2024
200000,-0.10294723689486629,-0.3445029898309082,223,2,2024
25000,-0.15997044301130847,-0.7276019944435386,681,0,2025
50000,-0.9958013710752903,-3.653279764657047,246,0,2025
75000,-1.6491950123051144,-6.038431023689039,231,0,2025
100000,-1.3622805377982197,-4.682189203298681,210,0,2025
125000,-1.1607090714942985,-3.5027683018341804,150,0,2025
150000,-0.8861486186567609,-3.520484797488943,168,0,2025
175000,-1.2488820160887897,-4.071776398858362,134,0,2025
200000,-1.190230453793866,-4.382661479984595,150,0,2025
25000,-0.392699395746531,-2.19127489455877,393,1,2025
50000,-0.8631383795524012,-4.195371429448547,440,1,2025
75000,-0.8312776644617969,-4.4736222934402825,497,1,2025
100000,-0.9029467665239955,-3.7666879932427344,308,1,2025
125000,-0.5301324471885864,-2.311800724040469,237,1,2025
150000,-0.3396059468412303,-1.4453472954962132,222,1,2025
175000,-0.7177786036145362,-2.863532332170071,245,1,2025
200000,-0.7274371492769273,-2.5435524964879663,164,1,2025
25000,-0.3885065602922853,-1.8642974533077505,567,2,2025
50000,-1.5258177203570147,-7.348270588854911,405,2,2025
75000,-0.8231551216597409,-4.874162096793833,366,2,2025
100000,-0.48346941339350713,-2.628306812916492,424,2,2025
125000,-0.4412862824163935,-2.3861606332473917,440,2,2025
150000,-0.7393137296521737,-4.0223425888697655,483,2,2025
175000,-0.610444529573521,-2.561637253821869,255,2,2025
200000,-0.9694496113663473,-4.675683706829304,342,2,2025
